# Language file for DOL
# Language used : SPANISH / Español
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.EN:				Inglés
GamePlayer.SwitchQuiver.NoMoreAmmo:				¡No tienes más munición en tu aljaba!		
GamePlayer.SwitchQuiver.NotUseQuiver:			No usarás tu quiver.		
GamePlayer.SwitchQuiver.ShootWith:				Tira con: {0}.		
GamePlayer.SwitchWeapon.SpellCancelled:			Su hechizo es cancelado!		
GamePlayer.UpdateEncumberance.Encumbered:		Usted está sobrecargado!		
GamePlayer.UpdateEncumberance.EncumberedMoveSlowly:	Usted está sobrecargado y se mueve más lentamente.				
GamePlayer.UpdateSpellLine.GainPower:			¡Usted gana poder en la lista de hechizos {0}!	
GamePlayer.UseSlot.AttemptToUse:				Intenta utilizar {0}.
GamePlayer.UseSlot.AutoReleaseShot:				Ahora liberará automáticamente su disparo.		
GamePlayer.UseSlot.AutoReleaseShotReload:		Ahora liberará automáticamente su disparo y volver a cargarlo.			
GamePlayer.UseSlot.CantCallMountSeated:			No puedes llamar a tu montura mientras estás sentado.		
GamePlayer.UseSlot.CantFire:					¡Usted no puede despedir o utilizar este artículo!	
GamePlayer.UseSlot.CantMountCombat:				Estás en combate y no puedes llamar a tu montura.
GamePlayer.UseSlot.CantMountHere:			    ¡No puedes convocar un monte aquí!	
GamePlayer.UseSlot.CantMountMoving:			 	No se puede montar mientras se está moviendo.	
GamePlayer.UseSlot.CantMountStealthed			No puedes montar mientras estás en sigilo.		
GamePlayer.UseSlot.CantMountWhileDead:			YNo puedes montar mientras estás muerto.
GamePlayer.UseSlot.CantMountRelicCarrier:		¡No puedes montar mientras llevas una reliquia!
GamePlayer.UseSlot.CantSeeTarget:				¡No puedes ver tu objetivo!
GamePlayer.UseSlot.CantSummonRvR:				No se puede convocar a ese montaje en zonas RvR.	
GamePlayer.UseSlot.CantUseFromBackpack:		    No puedes usar este artículo de tu mochila. ¡Equiparlo antes!			
GamePlayer.UseSlot.CantUseInCombat:				¡No puedes usar este elemento en combate!		
GamePlayer.UseSlot.IllegalSourceObject:			Objeto fuente no válido. Readied {0}.
GamePlayer.UseSlot.MustDismountBefore:			Debes desmontar antes.		
GamePlayer.UseSlot.NoAutoReleaseShotReload:		Ya no podrá liberar automáticamente su disparo ni volver a cargarlo.		
GamePlayer.UseSlot.NotEnouthPower:				No eres lo suficientemente poderoso como para usar el hechizo de este elemento.		
GamePlayer.UseSlot.OutOfCharges:				El {0} está fuera de cargos.
GamePlayer.UseSlot.StopCallingMount:			Dejas de llamar a tu montura.
GamePlayer.UseSlot.SummonHorseLevel:			Debes tener {0} nivel para convocar a este caballo.
GamePlayer.UseSlot.WhistleMount:				Usted silba para su montaje.
GamePlayer.UseSlot.MustWaitBeforeUse:			¡Debe esperar {0} más segundos antes de usar la poción!
GamePlayer.UseSlot.CantUseState:			    No puedes usar {0} en tu estado.
GamePlayer.UseSlot.Used:			            Se ha utilizado {0}.
GamePlayer.UseSlot.CantUseCast:				    Debe terminar su acción actual para utilizar su {0}!
GamePlayer.Whisper.SelectTarget:				Seleccione un objetivo para susurrar a!

GamePlayer.SendCastMessage.WhileInZephyr:          En su estado no puede descargar ningún objeto.
GamePlayer.SendCastMessage.YouMustWait:            ¡Debes esperar {0} más segundos antes de descargar {1}!
GamePlayer.SendCastMessage.YouMustWaitAgain:       ¡Debe esperar {0} más segundos antes de descargar otro objeto!
GamePlayer.SendCastMessage.YouMustWaitNow:         ¡Debe esperar {0} más segundos antes de descargar otro objeto!
GamePlayer.SendCastMessage.YourStateWhileInZephyr: No puedes usar nada en tu estado.
GamePlayer.SendCastMessage.YouAlreadyCasting:      Ya estás lanzando un hechizo.
GamePlayer.SendCastMessage.YouNotPowerfulEnough:   No eres lo suficientemente poderoso como para usar el hechizo de este elemento.
GamePlayer.SendCastMessage.YouUseItem:             Utilizas {0}
GamePlayer.SendCastMessage.ThatTargetIsToFahr:     Ese objetivo está demasiado lejos!
GamePlayer.SendCastMessage.ThatTargetIsNotValid:   ¡Ese objetivo no es válido para esta habilidad!
YouCantUseThatHere:                                no puedes usar eso en esta zona.


 # STYLES
# /StyleProcessor
StyleProcessor.ExecuteStyle.BackStrike:			    Usted inflige una huelga crítica en la parte posterior de su objetivo
StyleProcessor.ExecuteStyle.ExecuteFail:	    	Usted no puede ejecutar su {0} perfectamente!
StyleProcessor.ExecuteStyle.PerformPerfectly:		Usted realiza su {0} perfectamente! {1}
StyleProcessor.ExecuteStyle.PerformsPerfectly:		Su {0} realiza su {1} perfectamente. {2}
StyleProcessor.ExecuteStyle.StyleNameBackstab:		Puñalada
StyleProcessor.ExecuteStyle.StyleNameBackstabII:	Backstab II
StyleProcessor.ExecuteStyle.StyleNamePerforateArtery:	Perforate Artery
StyleProcessor.ExecuteStyle.ThroatStrike:		    Usted inflige una huelga crítica en la garganta de su objetivo
StyleProcessor.TryToUseStyle.AlreadyPreparing:		¡Usted ya se está preparando para usar este estilo! Escriba / cancelstyle para habilitar la cancelación de estilo.
StyleProcessor.TryToUseStyle.AlreadySelectedStyles: ¡Ya has seleccionado tus estilos para esta ronda!
StyleProcessor.TryToUseStyle.BackupStyle:		    ¡Ahora se está preparando para realizar un estilo {0} como respaldo para {1}!
StyleProcessor.TryToUseStyle.CantCombatMode:		¡No puedes entrar en el modo de combate mientras estás acostado!
StyleProcessor.TryToUseStyle.CantMeleeCombat:		¡No puedes entrar en el modo de combate cuerpo a cuerpo con un arma disparada!
StyleProcessor.TryToUseStyle.DualWielding:		    ¡Usted debe ser dual wielding para utilizar este estilo!
StyleProcessor.TryToUseStyle.Fatigued:			    ¡Usted está demasiado fatigado para usar este estilo!
StyleProcessor.TryToUseStyle.MustHaveTarget:		¡Debes tener un objetivo para tu siguiente estilo de ataque!
StyleProcessor.TryToUseStyle.NoLongerPreparing:		¡Ya no estás preparando el uso de tu estilo {0}!
StyleProcessor.TryToUseStyle.PerformStyleBefore:	¡Debes realizar el estilo {0} antes de éste!
StyleProcessor.TryToUseStyle.PreparePerform:		¡Se prepara para realizar un {0}!
StyleProcessor.TryToUseStyle.StyleRequires:		    ¡Este estilo requiere un arma {0}!


# HOUSING
HouseEnterLeave.TooFarAway:					Estás demasiado lejos para entrar a esa casa {0}
HouseEnterLeave.CantEnter:					No puedes entrar a esta casa {0}
HousingDecorationRotate.Rotated:			Interior decoration rotated from {0} degrees to {1} degrees.Decoracion interior cambiada desde {0} grados a {1} grado.
HousingPickupItemHandler.GardenRemoved:		Objeto del jardín eliminado.
HousingPickupItemHandler.PickUp:			Has conseguido {0} y lo has colocado en tu inventario. 
HousingPlaceItemHandler.30objects:			Ya has puesto 30 objetos. No puedes poner más.
HousingPlaceItemHandler.40objects:			Ya has puesto 40 objetos. No puedes poner más.
HousingPlaceItemHandler.CantFloor:			No puedes soltarlo en el suelo!
HousingPlaceItemHandler.CantWall:			No puedes colocarlo en una pared!
HousingPlaceItemHandler.DropOnFloor:		Has colocado el {0} en el suelo de tu casa!
HousingPlaceItemHandler.DropOnGarden:		Has colocado el {0} en tu jardín.
HousingPlaceItemHandler.DropOnWall:			Has puesto el {0} en la pared de tu casa!
HousingPlaceItemHandler.GardenObjectPlaced:	Objeto de jardín colocado. Quedan {0} espacios.
HousingPlaceItemHandler.HasPorch:			Esta casa ya tiene un portico!
HousingPlaceItemHandler.HasNoPorch:			Esta casa no tiene portico!
HousingPlaceItemHandler.IndoorObjectPlaced:	Objeto de interior colocado. Quedan {0} espacios.  
HousingPlaceItemHandler.NoHookpoint:		No hay ningun anclaje colocado!
HousingPlaceItemHandler.PutMoney:			Dejas el dinero en tu casa.

# SCRIPTS
# /Language
Scripts.Players.Language.Set:				Cambias el idioma de las notificaciones a {0}.
Scripts.Players.Language.Current:			Tu idioma es actualmente: {0}.

# /Realm
Scripts.Players.Realm.AlbKeeps:            Puestos avanzados de Albión
Scripts.Players.Realm.DarknessFalls:      Abismos de la Oscuridad
Scripts.Players.Realm.DarknessFallsOpen:  ¡Darkness Falls está actualmente abierto para todos los Reinos!
Scripts.Players.Realm.HibKeeps:            Puestos avanzados de Hibernia
Scripts.Players.Realm.MidKeeps:            Puestos avanzados de Midgard
Scripts.Players.Realm.None:                No Owner
Scripts.Players.Realm.Title:            Estatuto del reino
Scripts.Players.Realm.UseRelicCommand:      Teclea '/relic': informaciones de Reliquias

# /Relic
Scripts.Players.Relic.AlbRelics:         Albión Reliquias
Scripts.Players.Relic.HibRelics:         Hibernia Reliquias
Scripts.Players.Relic.MidRelics:         Midgard Reliquias
Scripts.Players.Relic.Power:             {0} en: {1}
Scripts.Players.Relic.Strength:          {0} en: {1}
Scripts.Players.Relic.Title:            Estatuto del Reliquias
Scripts.Players.Relic.UseRealmCommand:      Teclea '/realm': informaciones de Reino

# ZONE BONUSES
ZoneBonus.AdditionalXP:    ¡Usted gana una experiencia adicional de {0} para aventurarse en esta zona!
ZoneBonus.AdditionalRP:    ¡Obtienes {0} puntos reales adicionales para aventurarse en esta zona!
ZoneBonus.AdditionalBP:    ¡Usted gana un adicional de {0} puntos de recompensa para aventurarse en esta zona!
ZoneBonus.AdditionalCoin:  Usted gana monedas adicionales para aventurarse en esta zona!


# SummonAnimistFnFSpellHandler
SummonAnimistFnFSpellHandler.CantSummonTurretWithoutGroundtarget:  ¡No puedes convocar Torreta sin tierra-objetivo!
SummonAnimistFnFSpellHandler.CantSummonAnymoreTurretInArea:        ¡No puedes convocar torres en esta zona!
SummonAnimistFnFSpellHandler.CanNotControlAnymoreTurrets:          Usted no puede controlar las torretas!
SummonAnimistMainPetSpellHandler.YouAlreadyHaveACharmedCreature:   ¡Ya tienes una criatura encantada, suelta primero!
SummonAnimistMainPetSpellHandler.SelectACloserGroundTarget:        Tienes que seleccionar un objetivo de tierra más cercano.




# SpellHandler
SpellHandler.YouCantQuickcastWhileCasting:                ¡No puedes preparar un quickcast mientras lanzas un hechizo!
SpellHandler.YouCantQuickcastWhenDead:                    ¡No puedes lanzar rápido cuando estás muerto!
SpellHandler.YouCanNotCastWhenYourAreInMeleeCombat:       No puedes lanzar cuando estás en combate cuerpo a cuerpo.
SpellHandler.YourMustWaitToUsetoQickCast:                 ¡Debes esperar {0} más segundos para intentar un lanzamiento rápido!
SpellHandler.YourMustWaitToUseSpell:                      ¡Debes esperar {0} segundos para usar este hechizo!
SpellHandler.Execute.YouCantUseThatInYourState:           No puedes usar eso en tu estado.
SpellHandler.YourSpellIsReadyForUse:                      Su {0} está listo para su uso.
SpellHandler.SelectTheFirstSpellName:                     Seleccione el primer hechizo para su {0}
SpellHandler.ThatTargetIsntAttackableAtThisTime:         Ese objetivo no es atacable en este momento!
SpellHandler.SpellOnlyWorksOnFriendlyTargets:            ¡Este hechizo sólo funciona con objetivos amistosos!
SpellHandler.YouCantCastInASiegeram:                     ¡No puedes lanzar una arma de asedio!
SpellHandler.YouAreSilenced:                             Usted está silenciado y no puede lanzar un hechizo en este momento.
SpellHandler.YouArePhaseshifted:                         ¡Estás desfasado y no puedes conjurar un hechizo!
SpellHandler.IsNotVisibleForYou:                         ¡{0} es invisible para ti!
SpellHandler.YouArePhaseshiftedCantBeAttacked:           {0} es Phaseshifted y no puede ser atacado!
SpellHandler.YourTargetsInvunerableAtTheMomment:         Su objetivo es invulnerable en este momento y no puede ser atacado!
SpellHandler.YourInvunerableAtTheMomment:                Su invulnerable en este momento y no puede usar ese hechizo!
SpellHandler.YouMustHaveATarget:                         Usted debe tener un objetivo!
SpellHandler.YouCantCastThisSpellWhileSitting:           ¡No puedes lanzar este hechizo mientras estás sentado!
SpellHandler.YouMustBeStandingStillToCast:               Usted debe estar parado todavía para lanzar este hechizo!
SpellHandler.YouAlreadyHaveThisItem:                     ¡Usted ya tiene este objeto!
SpellHandler.ADamageReductionAbsorbsDamage:              Una reducción de daño absorbe {0} el daño de su ataque!
SpellHandler.TheDamageReductionAbsorbsDamage:            La reducción de daños absorbe {0} daños!
SpellHandler.YouSteelTargetforValueEnduranceFromTarget:  ¡Robas {1} por {0} resistencia!
SpellHandler.CasterSteelEnduranceFromTarget:             {1} te roban por {0} resistencia!
SpellHandler.YourTargetAlreadyHasAnEffecOfThatType:      {0} ya tiene un efecto de ese tipo de efecto.
SpellHandler.YouAreInCombatDandCantHiding:               ¡Has estado en combate recientemente y no puedes esconder todavía!
SpellHandler.YouMustWaitToHide:                          ¡Debe esperar {0} más segundos para intentar ocultarse!
SpellHandler.YouCantHideWhenDead:                        ¡No puedes esconderte cuando mueras!
SpellHandler.YouMustEndYourCurrentActionBeforeHiding:    ¡Debe terminar su acción actual antes de ocultarse!
SpellHandler.YouAreTooCloseToAnEnemyToHide:              ¡Estás demasiado cerca de un enemigo para esconderte!
SpellHandler.YouCantHideWhileStunned:                    ¡No puedes esconderte mientras estás aturdido!
SpellHandler.YouCantHideWhileMesmerized:                 No se puede ocultar mientras hipnotizado!
SpellHandler.YouCurrentlyHaveActivePulsingSpell:         ¡Actualmente tienes un efecto de hechizo activo y pulsante y no puedes esconderte!
SpellHandler.YouCancelYourEffect:                        Usted cancela su efecto.
SpellHandler.CasterBeginCastingSpellName:                ¡Comienza a lanzar un hechizo {0}!
SpellHandler.YourSpellWasCancelledWileTheTargetHit:      Tu hechizo fue cancelado mientras el objetivo es golpeado por daño.
SpellHandler.YourTargetIsNoLongerInView:                 Su objetivo ya no está a la vista.
SpellHandler.YourTargetIsNoLongerInRange:                Su objetivo ya no está en el rango.
SpellHandler.NotEnoughManaYourSpellWasCancelled:         No tienes suficiente maná y tu hechizo ha sido cancelado.
SpellHandler.YourSpellWasCancelled:                      Su hechizo fue cancelado.
SpellHandler.YourTargetNotInView:                        Tu objetivo no está a la vista
SpellHandler.InvalidTarget:                              Blanco invalido.
SpellHandler.YouCantAttackYourself:                      ¡No puedes atacarte a ti mismo!
SpellHandler.YourSpellHasNoEffectOn:                     Tu hechizo no tiene ningún efecto en el {0}!
SpellHandler.OnlyWorksOnDeadRealmMembers:                ¡Este hechizo sólo funciona en los miembros muertos de tu reino!
SpellHandler.NotRightTypeOfInstrument:                   Usted no está cediendo el tipo correcto de instrumento!
SpellHandler.YouAreInterruptedAndMustWait:               ¡Se te interrumpe y debes esperar {0} segundos para lanzar un hechizo!
SpellHandler.YouCantSeeYourTarget:                       ¡No puedes ver tu objetivo desde aquí!
SpellHandler.YourPetNotInView:                           Tu mascota no está a la vista.
SpellHandler.YourTargetIsNotVisible:                     ¡Tu objetivo no está visible!
SpellHandler.TargetIsNotInFront:                         ¡Tu objetivo debe estar frente a ti para este hechizo!
SpellHandler.InAttackStateCast:                          ¡Guardaste tu arma para lanzar {0}.

SpellHandler.TargetNotInViewSpellFails:                 Su objetivo no está a la vista. El hechizo falla.
SpellHandler.WorksOnlyOnPlayers:                        Este hechizo sólo funciona en los jugadores.
SpellHandler.YourTargetIsToFarAway:                     ¡Su objetivo está demasiado lejos!
SpellHandler.ThePulsingSpell.Ends:                      El hechizo {0} pierde su efecto y termina.
SpellHandler.YouCantCastWhileSitting:                   ¡No puedes lanzar mientras estás sentado!
SpellHandler.YouNeedAGroundTarget:                      Tienes que establecer un objetivo de tierra para este hechizo.
SpellHandler.SelectACloserGroundTarget:                 Su área objetivo está fuera de rango. Seleccione un objetivo más cercano.
SpellHandler.YourGroundTargetIsNotInView:               ¡Su objetivo terrestre no está a la vista!
SpellHandler.CasterBeginPlaying:                        Comienza a jugar "{0}"! "
SpellHandler.CasterBeginCasting:                        ¡Empiezas a lanzar un hechizo!
SpellHandler.SendCastMessage.YouCast:                   ¡Haces un {0} hechizo!
SpellHandler.SendCastMessage.OtherCast:                 {0} lanza un hechizo!
SpellHandler.SendCastMessage.FullyHealed:               Estás completamente curado.
SpellHandler.SendCastMessage.OtherTargetFullyHealed:    {0} está completamente curado!
SpellHandler.SelectATargetForThisSpell:                 Debes seleccionar un objetivo para este hechizo "{0}"!
DoesNotCharmTypeOfCreatur:                              Este hechizo "{0}" no encanta este tipo de criatura!
SpellHandler.YouCanThisOnlyOnSelfControllingCreatures:  Debes lanzar este hechizo sobre una criatura que estás controlando.
SpellHandler.YouHitTheForDamage:                        ¡Golpeaste {0} por {1}{2} daño!
SpellHandler.YourPetHitTheForDamage:                    ¡Tus {0} golpes {1} por {2}{3} daño!
SpellHandler.YourPetHitTheForCriticalDamage:            ¡Tu {0} golpea críticamente por un {1} daño adicional!
SpellHandler.YouCriticallyHitForAdditionalDamage:       ¡Golpes críticos por un daño adicional de {0}!
SpellHandler.YouHaveExhaustedAllMana:                   ¡Has agotado todo tu poder y no puedes lanzar hechizos!
SpellHandler.YouDontHaveEnoughMana:                     ¡No tienes suficiente poder para lanzar eso!
SpellHandler.ThisSpellRequiresConcentrationPoints:      ¡Este conjuro requiere {0} puntos de concentración para lanzar!
SpellHandler.YouCanOnlyCastUpTo:                        ¡Sólo puedes lanzar hasta 50 hechizos de concentración simultánea!
SpellHandler.YouAreDeatCantCast:                        Usted está muerto y no puede echar!




# AbstractServerRules
AbstractServerRules.YouGainNoExperience:                  ¡No obtienes experiencia de esta muerte!
AbstractServerRules.YouGainNoExperience2:                  No obtienes experiencia de esta matanza!
AbstractServerRules.YouGainNoExperience3:                  Este monstruo ha sido encantado recientemente.
AbstractServerRules.killedRecentlyGainNoExperience:       {0} ha sido asesinado recientemente y no vale puntos!   
AbstractServerRules.killedRecentlyGainNoRealmPoints:      {0} ha muerto recientemente y no vale la pena experimentar!
AbstractServerRules.YouGainNoExperienceWhileResurection:  {0} era gris para ti y, por lo tanto, no merece puntos reales!
AbstractServerRules.YouGainNoExperienceWhileResurection2: {0} era gris para ti y, por lo tanto, ¡no vale la pena!
AbstractServerRules.YouGainNoExperienceWhileResurection3: {0} era gris para ti y, por lo tanto, ¡no vale la pena tener puntos de experiencia!
AbstractServerRules.AddMoney:                             Tu robas:
AbstractServerRules.AddMoney2:                            Dinero adicional con su capacidad.



# ResurectSpellHandler
ResurectSpellHandler.YouHaveBeenResurrectedBy:               ¡Has sido resucitado por {0}!
ResurectSpellHandler.YouHaveBeenResurrectedNoRealmPoints:    Usted resucitó {0} pero no valía puntos del reino en la muerte.
ResurectSpellHandler.YouHaveBeenResurrectedNoRealmPoints2:   No obtienes puntos de dominio para la resurrección de {0}.
ResurectSpellHandler.ResurrectedSpellHasExpired:             Su hechizo de resurrección ha expirado.
ResurectSpellHandler.NotEnoughPower:                         ¡No tienes suficiente poder para lanzar eso!
ResurectSpellHandler.YourTargetAlreadyWasResurect:           Su objetivo ya está considerando una resurrección!
ResurectSpellHandler.YouDeclineToBeResurrected:              Usted se niega a ser resucitado.
ResurectSpellHandler.NoOneCurrentlyTrying:                   Nadie está tratando de resucitar.


# HotSpellHandler
HotSpellHandler.YouFeelCalmAndHealthy:        Te sientes tranquilo y saludable.
Perfecter.YouFeelCalmAndHealthy:              Te sientes tranquilo y saludable.


# CCSpellHandler
CCSpellHandler.TargetIsImmuneToThisEffect:              {0} es inmune a este efecto!
CCSpellHandler.TargetIsMovingTooFast:                   ¡{0} se está moviendo demasiado rápido para que este hechizo tenga algún efecto!
CCSpellHandler.StopPlayingSong:                         Dejas de tocar tu canción.
CCSpellHandler.YourTargetIsAlreadyMezzed:               Su objetivo ya está mezzed!
CCSpellHandler.YourTargetCantHaveThisEffectAgainYet:    {0} no puede tener ese efecto otra vez!
CCSpellHandler.TargetRessistEffect:                     {0} resiste el efecto!
CCSpellHandler.YouAreFarAwayFromTarget:                 Estás muy lejos del objetivo. Dejas de tocar tu canción.
CCSpellHandler.YourItemEffectInterceptsTheMez:          ¡El efecto de su elemento intercepta el hechizo de fascinación y se desvanece!
CCSpellHandler.EnemyItemEffectInterceptsTheMez:         Un Bracer Ceremonial intercepta tu mez!
CCSpellHandler.YourItemEffectInterceptsTheStun:         Su efecto Ceremonial Bracer intercepta el hechizo de aturdimiento y se desvanece!
CCSpellHandler.EnemyItemEffectInterceptsTheMezReturn:   ¡Un brazalete ceremonial interrumpe tu hipnosis y te devuelve!
CCSpellHandler.YourItemEffectInterceptsTheStunReturn:        ¡Un Ceremonial interrumpe tu aturdimiento y te lo devuelve!

# ArrowSpellHandler
ArrowSpellHandler.YouCantShotEnduranceIsToLow:          No se puede disparar, su resistencia es demasiado baja para disparar a {0}
ArrowSpellHandler.YouMiss:                              Te pierdes {0}!
ArrowSpellHandler.HasMiss:                              {0} se perdió!
ArrowSpellHandler.HasMissAttackRently:                  {0} ha sido atacado recientemente y no puedes participar.
ArrowSpellHandler.YouConcentrateOnBlocking:             ¡Te concentras en bloquear el golpe!
ArrowSpellHandler.YouBlockArrow:                        ¡Bloquea la flecha de {0}!
ArrowSpellHandler.BlockYourArrow:                       {0} bloquea tu flecha!
ArrowSpellHandler.YouPrepare:                           Usted prepara un {0}
ArrowSpellHandler.YouwieldingABowForThisAbility:        ¡Debes estar usando un arco para usar esta habilidad!
ArrowSpellHandler.YouMustBeStealthedForThisAbility:     Usted debe ser stealthed y blandiendo un arco para usar esta habilidad!
ArrowSpellHandler.YourTargetIsNotVisible:               ¡Su objetivo no es visible!
ArrowSpellHandler.YourTargetIsNotInView:                Su objetivo no está en la vista!
ArrowSpellHandler.YourTargetIsOutOfRange:               Su área objetivo está fuera de rango. Seleccione un objetivo más cercano.
ArrowSpellHandler.YourMustWaitToUseSpell:               ¡Debes esperar {0} segundos para usar este hechizo!
ArrowSpellHandler.YouCantCastWhileSitting:          ¡No puedes lanzar mientras estás sentado!
ArrowSpellHandler.IsEmuneToThisEffect:                  {0} es inmune a este efecto!
ArrowSpellHandler.IsNotVisibleForYou:                   ¡{0} es invisible para ti!
ArrowSpellHandler.YouAreDisarmed:                       ¡Estás desarmado y no puedes conjurar un hechizo!
ArrowSpellHandler.YouArePhaseshifted:                   ¡Estás desfasado y no puedes conjurar un hechizo!
ArrowSpellHandler.CantConbatInSiegeweapon:              ¡No puedes combatir en un arma de asedio, suelta primero entonces!
ArrowSpellHandler.YouAreDead:                           Usted está muerto y no puede echar!
ArrowSpellHandler.AShotPenetratedYourMagicBarrier:      ¡Un disparo penetró tu barrera mágica!
ArrowSpellHandler.YourStrikeWasAbsorbedByMagicBarrier:  Su huelga fue absorbida por una barrera mágica!
ArrowSpellHandler.TheBlowWasAbsorbedByMagicBarrier:     El golpe fue absorbido por una barrera mágica!
ArrowSpellHandler.AttacksYouAndYourShotIsInterrupted:   {0} ¡los ataques de usted y su disparo se interrumpe!
ArrowSpellHandler.YouHitTheForDamage:                   Golpeaste {0} por {1} daño.
ArrowSpellHandler.HitYouForDamage:                      {0} te golpea por {1} daño.
ArrowSpellHandler.YouArePhaseshiftedCantBeAffected:     {0} es Phaseshifted y no puede ser afectado por este hechizo!
ArrowSpellHandler.YouCastAWrathOfChampionsSpell:        You cast a Wrath of Champions Spell!
ArrowSpellHandler.CastAWrathOfChampionsSpell:           {0} lanza un hechizo!



# VampiirPowerBolt
VampiirPowerBolt.YouReceivePowerFrom:        Recibes {0} energía de {1}!
VampiirPowerBolt.YouReceiveNoPowerFrom:      ¡No recibiste ningún poder de {0}!
VampiirPowerBolt.TakesPower:                 {0} toma {1} "poder!
VampiirPowerBolt.NoEffectOnKeepComponents:   Su hechizo no tiene ningún efecto en el componente keep!
VampiirPowerBolt.CanNotCastInCombat:         ¡No puedes lanzar este hechizo en combate!


# HealSpellHandler
HealSpellHandler.Execute.HealYourself:			        Te curas por {0} puntos de vida.
HealSpellHandler.Execute.YouHealCriticalFor:            Tus críticas por una cantidad extra {0} puntos de golpe!
HealSpellHandler.Execute.YouHealTarget:                 Usted cura {0} por {1} puntos de golpe!
HealSpellHandler.Execute.YouAreHealedBy:                Usted es curado por {0} por {1} puntos de golpe.
HealSpellHandler.Execute.TargetIsFullyHealed:           {0} está completamente curado.
HealSpellHandler.Execute.HealYourself:		         	Te curas por {0} puntos de vida.
HealSpellHandler.Execute.YourEfficientEndurancebuff:    Su aficionado a la Resistencia Eficiente le otorga {0} Resistencia de la Curación!
HealSpellHandler.Execute.YourEfficientHealingbuff:      Su buff Efficient Healing le concede un {0} adicional en el Heal!
HealSpellHandler.Execute.PlayerDoesNotWantAssistance:   {0} no quiere ayuda.
HealSpellHandler.Execute.TargetIsDead:                  {0} está muerto!
HealSpellHandler.Execute.YourTargetIsDiseased:          {0} está enfermo!

# EnduranceHealSpellHandler
EnduranceHealSpellHandler.EnduranceIsFull:              Su resistencia está llena.
EnduranceHealSpellHandler.TargetEnduranceIsFull:        {0} la resistencia está llena.
EnduranceHealSpellHandler.YouRestoreEndurancePoints:    Restaura {0} puntos de resistencia.
EnduranceHealSpellHandler.YouRestoreForEndurancePoints: ¡Restaura {0} por {1} puntos de seguridad!
EnduranceHealSpellHandler.YourEnduranceWasRestored:     Su resistencia fue restaurada por {0} por {1} puntos.


# SpellCastingAbilityHandler
SpellCastingAbilityHandler.SendCastMessage.WaitForStart:        Shadow Strike ahora está listo y comienza en 10 segundos!
SpellCastingAbilityHandler.SendCastMessage.WaitFor:             Debe esperar antes de poder utilizar esta capacidad de nuevo.
SpellCastingAbilityHandler.SendCastMessage.YouMustStealthed:    Usted debe ser stealthed para usar esta habilidad!
SpellCastingAbilityHandler.SendCastMessage.YouNeedATarget:      ¡Necesitas un objetivo para esta habilidad!
SpellCastingAbilityHandler.SendCastMessage.YouNeedAGroup:       Usted debe estar en un grupo de utilizar esta capacidad!
SpellCastingAbilityHandler.SendCastMessage.YouCantUseInStalth:  ¡No puedes usar esta habilidad mientras estabas!
SpellCastingAbilityHandler.SendCastMessage.YouMustInCombat:     ¡Debes estar en combate recientemente para usar esta habilidad!
SpellCastingAbilityHandler.SendCastMessage.YouAreInCombat:      ¡Has estado en combate recientemente y no puedes usar esta habilidad!
SpellCastingAbilityHandler.SendCastMessage.WileSitting:         ¡No puedes usar esta habilidad mientras estás sentado!
SpellCastingAbilityHandler.SendCastMessage.WileStunned:         ¡No puedes usar esta habilidad mientras estés aturdido!
SpellCastingAbilityHandler.SendCastMessage.WileMessmerize:      ¡No puedes usar esta habilidad mientras estás hipnotizado!
SpellCastingAbilityHandler.SendCastMessage.WileDead:            ¡No puedes usar esta habilidad mientras esta muerto!



#CharmSpellHandler
CharmSpellHandler.DelveInfo.Function:			    Función: {0}
CharmSpellHandler.TargetIsNowUnderYourControl:      {0} está bajo tu control.
CharmSpellHandler.TargetResistsTheCharm:            {0} resiste el encanto!
CharmSpellHandler.TargetIsToStrongToCharm:          {0} es demasiado fuerte para encantarte!
CharmSpellHandler.YourTargetIsNotValid:             Su objetivo no es válido.
CharmSpellHandler.YouAlreadyHaveACharmedCreature:   ¡Ya tienes una criatura encantada, suelta primero!


#Melee Damage

GamePlayer.Attack.YourWeaonIsTooStrong:             Su {0} es demasiado fuerte para usted, no puede golpear con el daño completo. 

#Call of the Hounds

StartsEnemySearch: ¡Tu Sabueso ha tomado el olor de los enemigos y ahora está siguiendo su rastro!
EnemyFound: ¡Tu Sabueso ha descubierto un enemigo!


#Keeps

Keeps.FrontierTeleortertStone: No puede teletransportarse nuevamente, intente de nuevo en {0} segundos.


#CL

GamePlayer.Champion.YouGainedOneChampionLevel: ¡Alcanzarás otro nivel de campeón!
